STEVAL-MKI196V1 (LSM6DSO)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	A_X [deg] 	 A_Y [deg] 	 A_Z [deg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	TEMP [C] 	
-8 	 11 	 1015 	0 	 0 	 90 	-0.63 	 0.67375 	 -0.18375 	23.7 	
-9 	 11 	 1019 	0 	 0 	 89 	-0.805 	 0.74375 	 -0.1225 	23.6 	
-9 	 8 	 1021 	0 	 0 	 89 	-0.62125 	 0.7 	 -0.035 	23.6 	
-8 	 11 	 1015 	0 	 0 	 90 	-0.27125 	 0.525 	 -0.04375 	23.6 	
-6 	 10 	 1018 	0 	 0 	 90 	-0.27125 	 0.53375 	 -0.105 	23.6 	
-7 	 10 	 1017 	0 	 0 	 90 	-0.21875 	 0.53375 	 -0.18375 	23.6 	
-7 	 11 	 1016 	0 	 0 	 90 	-0.21875 	 0.525 	 -0.28875 	23.6 	
-7 	 11 	 1018 	0 	 0 	 90 	-0.2275 	 0.53375 	 -0.28 	23.6 	
-7 	 11 	 1016 	0 	 0 	 90 	-0.18375 	 0.49 	 -0.28875 	23.6 	
-6 	 10 	 1017 	0 	 0 	 90 	-0.20125 	 0.525 	 -0.28 	23.7 	
-7 	 11 	 1017 	0 	 0 	 90 	-0.18375 	 0.525 	 -0.3325 	23.7 	
-8 	 11 	 1017 	0 	 0 	 90 	-0.2275 	 0.5775 	 -0.30625 	23.6 	
-6 	 11 	 1017 	0 	 0 	 90 	-0.25375 	 0.56 	 -0.28 	23.6 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.23625 	 0.525 	 -0.245 	23.7 	
-7 	 12 	 1018 	0 	 0 	 90 	-0.2625 	 0.5425 	 -0.18375 	23.7 	
-8 	 11 	 1017 	0 	 0 	 90 	-0.20125 	 0.49 	 -0.245 	23.6 	
-7 	 12 	 1016 	0 	 0 	 90 	-0.1925 	 0.49875 	 -0.28 	23.6 	
-8 	 10 	 1017 	0 	 0 	 90 	-0.21 	 0.525 	 -0.28875 	23.6 	
-7 	 10 	 1017 	0 	 0 	 90 	-0.1925 	 0.48125 	 -0.315 	23.6 	
-7 	 11 	 1017 	0 	 0 	 90 	-0.1575 	 0.49875 	 -0.34125 	23.6 	
-7 	 11 	 1018 	0 	 0 	 90 	-0.13125 	 0.53375 	 -0.35875 	23.6 	
-7 	 11 	 1017 	0 	 0 	 90 	-0.18375 	 0.525 	 -0.385 	23.6 	
-7 	 11 	 1017 	0 	 0 	 90 	-0.20125 	 0.5075 	 -0.3675 	23.6 	
-7 	 11 	 1018 	0 	 0 	 90 	-0.18375 	 0.525 	 -0.35 	23.6 	
-6 	 12 	 1016 	0 	 0 	 90 	-0.18375 	 0.5075 	 -0.32375 	23.6 	
-6 	 12 	 1017 	0 	 0 	 90 	-0.18375 	 0.51625 	 -0.2975 	23.6 	
-7 	 10 	 1018 	0 	 0 	 90 	-0.21 	 0.56875 	 -0.28 	23.6 	
-8 	 11 	 1018 	0 	 0 	 90 	-0.23625 	 0.525 	 -0.2975 	23.6 	
-8 	 10 	 1016 	0 	 0 	 90 	-0.1925 	 0.55125 	 -0.28875 	23.6 	
-7 	 10 	 1016 	0 	 0 	 90 	-0.175 	 0.55125 	 -0.315 	23.6 	
-7 	 10 	 1016 	0 	 0 	 90 	-0.175 	 0.49875 	 -0.34125 	23.6 	
-8 	 12 	 1017 	0 	 0 	 90 	-0.16625 	 0.55125 	 -0.37625 	23.6 	
-6 	 12 	 1018 	0 	 0 	 90 	-0.16625 	 0.51625 	 -0.3325 	23.6 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.16625 	 0.51625 	 -0.315 	23.6 	
-7 	 10 	 1017 	0 	 0 	 90 	-0.175 	 0.525 	 -0.4025 	23.6 	
-8 	 10 	 1018 	0 	 0 	 90 	-0.1575 	 0.49 	 -0.41125 	23.6 	
-8 	 11 	 1017 	0 	 0 	 90 	-0.20125 	 0.49 	 -0.37625 	23.6 	
-8 	 10 	 1017 	0 	 0 	 90 	-0.21875 	 0.51625 	 -0.385 	23.6 	
-8 	 10 	 1017 	0 	 0 	 90 	-0.21875 	 0.53375 	 -0.35 	23.6 	
-8 	 11 	 1017 	0 	 0 	 90 	-0.245 	 0.53375 	 -0.32375 	23.6 	
-7 	 11 	 1016 	0 	 0 	 90 	-0.18375 	 0.525 	 -0.30625 	23.6 	
-6 	 11 	 1017 	0 	 0 	 90 	-0.1925 	 0.53375 	 -0.28875 	23.6 	
-6 	 11 	 1018 	0 	 0 	 90 	-0.175 	 0.51625 	 -0.2625 	23.6 	
-8 	 10 	 1017 	0 	 0 	 90 	-0.1575 	 0.53375 	 -0.30625 	23.6 	
-8 	 11 	 1016 	0 	 0 	 90 	-0.1575 	 0.53375 	 -0.315 	23.6 	
-6 	 11 	 1017 	0 	 0 	 90 	-0.175 	 0.525 	 -0.30625 	23.7 	
-7 	 11 	 1016 	0 	 0 	 90 	-0.16625 	 0.51625 	 -0.28875 	23.7 	
-7 	 11 	 1017 	0 	 0 	 90 	-0.18375 	 0.525 	 -0.2975 	23.6 	
-7 	 11 	 1017 	0 	 0 	 90 	-0.20125 	 0.55125 	 -0.28 	23.6 	
-8 	 11 	 1018 	0 	 0 	 90 	-0.20125 	 0.53375 	 -0.27125 	23.6 	
-7 	 11 	 1016 	0 	 0 	 90 	-0.20125 	 0.55125 	 -0.28 	23.6 	
-6 	 11 	 1016 	0 	 0 	 90 	-0.20125 	 0.53375 	 -0.28875 	23.6 	
-6 	 11 	 1017 	0 	 0 	 90 	-0.1925 	 0.51625 	 -0.28875 	23.6 	
-7 	 10 	 1018 	0 	 0 	 90 	-0.14 	 0.51625 	 -0.27125 	23.7 	
